BH231 Parle-G Royale 360G x 20 Cartons,70,1201.81
BH236 Krackjack But Masala 102.6G X 40P,50,843.12
BH241 Monaco Piri Piri 103.68G X 40P,50,843.12
BH242 Monaco Pizza 103.68Gx40P,50,843.12
BH246 Parle G Oats&Berries 75+18.75GX72P,10,618.08
BH249 Parle G  Cookies 120+30G x 20P,20,337.24
BH25 Milk Shakti 250+50g X 15p EZ,45,569.11
BH253 Multivita Marie 103.5G X 72P,20,1214.08
BH255 Multivita Marie 162G X 40P,30,1011.74
BH262 Multivita Marie 243G X 20P,40,674.49
BH267 Aloo Bikki Spicy Masala 304g X 8p,150,1011.74
BH268 Aloo Bikki Mexican Salsa 304g X 8p,150,1011.74
BH269 Aloo Bikki Chipotle 304g X 8p,150,1011.74
BH271KrackjackJeera56.7+6.3gX120p Sslug,10,1011.74
BH273 20-20 Butter Cookies 135G X 20 P,20,337.24
BH274 Milk Shakti 30+5g X 55+5p TLO,5,231.85
BH276 Milk Shakti 60+15g X 120p,10,1011.74
BH289 Parle-G Gluco 90g + 10g X 72p SS,10,618.08
BH301 Fab Bourbon  50g  X 120 PKTS,10,1011.74
BH309 Parle-G Royale 50G+22G x 120P,10,1030.13
BH31 Parle Marie 9.4g X 810p,2,1070.82
BH311 20-20 GoldCK BTR 52.5+7.5G X 72P,10,607.05
BH315 Yummy Dlite 27G X 96p,5,480
BH325 Hpy Hpy60g+10gx96p(12p)Pillow Pack,10,809.38
BH326 Happy Happy 120g(12p) x 36p,20,607.05
BH328 20-20 Gold Cash Alm 604.8g x 12p,160,1813.03
BH334 Krackjack Butter Masala 307.8Gx8P,130,491.03
BH338 Parle Marie 800g X 10p,175,826.25
BH361 Monaco Piri Piri 311.04g X 8 P,130,491.03
BH362 Monaco Pizza 311.04g X 8 PKTS,130,491.03
BH53 Parle-G Gluco 130g X 72p,15,927.11
BH60 Parle-G Cookies 52.5+22.5g X 80p,10,674.49
BH62 Parle-G Cookies 28+12g X 144p,5,607.05
BH64 20-20 Gold Choco Chips 400g X 12p,150,1517.6
BH66 Magix KR RD OR 183.6g X 40p,60,1030.13
BH67 Magix KR RD CH 183.6g X 40p,60,1030.13
BH86 Parle-G Bheem 90g X 96p,10,824.11
BH92 Monaco 52.2+5.8g X 120p Single Slug,10,910.56
K68 HH Egg cake Vanilla 120g X 36p,40,1214.08
K69 HH Egg cake Tutti Fruity 120g X 36p,40,1214.08
K73 HH Egg Cake Choco 90g X 48p,40,1618.79
K74 HH Egg Cake Tutti Fruity 18g X 360p,5,1517.6
K75 HH Egg Cake Vanilla 18g X 360p,5,1517.6
K79 HH Egg Cake Gift Pack 270g X 24 Car,180,1821.12
K85 Happy Happy Egg Cake Van 30G x 120P,10,1011.74
