CATEGORY,Column1,MRP,INVOICE RATE,SCHEME,AFTER SCHEME DEDCTION RATE,SEMI WS RATE5 (2%),RETAIL RATE(3%),RATE (5%)
,N1542 Chatkeen MSL Chana 13.3+2.7gX504p,5,1945.73,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1543 Chatkeen SaltPeanut 12.5+2.5gX504p,5,1945.73,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1544 Chatkeen Moong Dal 12.5+2.5gX504p,5,1945.73,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1545 Chatkeen South Mixture 16g X 504p,5,1945.73,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1546 Chatkeen Ratlami Sev 16g X 504p,5,1945.73,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1548 Chatkeen Punjabi Tadka 16g X 360p,5,1389.79,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1549 Chatkeen Farali Chiwda 16g X 504p,5,1945.73,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1550 Chatkeen Sev Murmura 20g X 240p,5,982.94,1.05,936.1333333,954.856,964.2173333,982.94
,N1551 Chatkeen Aloo Bhujia 32g X 288p,10,2223.69,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1552 Chatkeen Bhujia Sev 32g X 288p,10,2223.69,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1553 Chatkeen HotNSpicy 32g X 288p,10,2223.69,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1554 Chatkeen KT Meetha 32g X 288p,10,2223.69,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1555 Chatkeen Tasty Peanut 32g X 288p,10,2223.69,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1556 Chatkeen Moong Dal 30g X 288p,10,2223.69,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1557 Chatkeen Salted Peanut 25g X 288p,10,2223.69,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1558 Chatkeen Sev Murmura 40g X 160p,10,1310.57,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1559 Chatkeen But Murukku 16g X 288p,5,1179.52,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1560 Chatkeen Lite Chiwda 17g X 288p,5,1111.84,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1561 Chatkeen Farali Chiwda 32g X 288p,10,2223.69,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1562 Chatkeen Ratlami Sev 32g X 288p,10,2223.69,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1565 Chatkeen Moong Dal 50g X 144p,20,2260.74,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1566 Chatkeen Hot N Spicy 65g X 144p,20,2260.74,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1567 Chatkeen KT Meetha 65g X 144p,20,2260.74,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1568 Chatkeen Aloo Bhujia 60g X 144p,20,2260.74,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1569 Chatkeen Bhujia Sev 60g X 144p,20,2260.74,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1570 Chatkeen Hot N Spicy 400g X 24p,105,1831.34,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1571 Chatkeen KT Meetha 400g X 24p,105,1978.14,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1572 Chatkeen Aloo Bhujia 400g X 24p,110,1894.71,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1573 Chatkeen Bhujia Sev 400g X 24p,110,2072.35,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1587 Chatkeens Assorted 300g X 24 Combi,89,1676.71,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1589 Chatkeens HotNSpicy 200g X 48P,50,1883.95,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1594 Chatkeens Moong Dal 200g X 48 P,60,2260.74,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1595 Chatkeens Khatta Meetha 200g X 48P,50,1883.95,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1596 Chatkeens Aloo Bhujia 200g X 48P,60,2260.74,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1597 Chatkeens Bhujia Sev 200g X 48 P,60,2260.74,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1598 Chatkeens Tasty Peanuts 200g X 48P,60,2260.74,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1600 Chatkeens Chtpata Matar 30g X 288P,10,2223.69,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1601 Chatkeens Lite Chiwda 34gx288 P,10,2223.69,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1602 Chatkeens Msl Chana Dal 32gx288 P,10,2223.69,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1603 Chatkeens Punjabi Tadka 32gx288 P,10,2712.88,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1604 Chatkeens Butter Murukku 32gx240P,10,2260.74,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1605 Chatkeens Corn Flakes 30gx288 P,10,2223.69,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1612 Chatkeens Madras Mix 16g x 504p,5,2373.78,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1613 Chatkeens Gujju Mix 32g X 288p,10,2712.88,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
PLATINA,BF155 Nutricrunch Cla Dig 100g X 60p,20,1011.74,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,BF157 Nutricrunch Ho&Ot 100g X 60p,20,1011.74,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,BF168 Hide & Seek Choc Roll 12.5g X 480p,5,2023.47,1,2023.47,2063.9394,2084.1741,2124.6435
,BF570 Hide & Seek Choc Roll 25g X 128p,10,1079.19,1,1079.19,1100.7738,1111.5657,1133.1495
,BF765 HIDE & SEEK CHOC 100+20G X72P (GT),30,1821.12,1,1821.12,1857.5424,1875.7536,1912.176
,BF777 Hide & Seek Choc. 33g X 160p,10,1348.98,1,1348.98,1375.9596,1389.4494,1416.429
,BG150 Hide&Seek Creme OR 100+20gX72P,30,1821.12,1,1821.12,1857.5424,1875.7536,1912.176
,BG151 Hide&Seek Creme ST 100+20gX72P,30,1821.12,1,1821.12,1857.5424,1875.7536,1912.176
,BG152 Hide&Seek Creme VN 100+20gX72P,30,1821.12,1,1821.12,1857.5424,1875.7536,1912.176
,BG153 Hide&Seek Creme CH 100+20gX72P,30,1821.12,1,1821.12,1857.5424,1875.7536,1912.176
,BG242 Hide & Seek Coffee 100+20g X72p,30,1821.12,1,1821.12,1857.5424,1875.7536,1912.176
,BG261 H&S Choc & Almond 100gX60 P,30,1517.6,1,1517.6,1547.952,1563.128,1593.48
,BG355 Hide & Seek Choc 200g X 60 p,60,3048.83,1,3048.83,3109.8066,3140.2949,3201.2715
,BG391 Hide&Seek CH/CF/CO 400gx18P COMBI,90,1365.86,1,1365.86,1393.1772,1406.8358,1434.153
,BG40 Fab!o Chocolate 50g X 120 P,10,1011.74,1,1011.74,1031.9748,1042.0922,1062.327
,BG401 Nutricrunch Ginger 100g X 60p,20,1011.74,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,BG41 Fab!o Vanilla 50g X 120 P,10,1011.74,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,BG44 Fab!o Chocolate 120g X 48 P,30,1214.08,1,1214.08,1238.3616,1250.5024,1274.784
,BG442 H&S Black BB Vanilla 100g x 48p,30,1214.08,1,1214.08,1238.3616,1250.5024,1274.784
,BG443 H&S Black BB Choc 100g x 48p,30,1214.08,1,1214.08,1238.3616,1250.5024,1274.784
,BG45 Fab!o Vanilla 120g X 48 P,30,1214.08,1,1214.08,1238.3616,1250.5024,1274.784
,BG531 Fab!o Chocolate 300g x 20p,100,1686.22,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,BG532 Fab!o Vanilla 300g x 20p,100,1686.22,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,BG706 Nutricrunch Dig Marie 100g x 72p,15,910.56,1,910.56,928.7712,937.8768,956.088
,BG707 Nutricrunch Dig Marie 200g x 21p,30,531.15,1,531.15,541.773,547.0845,557.7075
,BG710 Hide & Seek Choc 100g X 90p,30,2276.39,1,2276.39,2321.9178,2344.6817,2390.2095
,BG715 Hide & Seek 16.5g x 360p,150,1517.6,1,1517.6,1547.952,1563.128,1593.48
,BG74 H&S BB Vanilla (40g*12P/Car)X12 Car,120,1214.08,1,1214.08,1238.3616,1250.5024,1274.784
,BG75 H&S BB Choco   (40g*12P/Car)X12 Car,120,1214.08,1,1214.08,1238.3616,1250.5024,1274.784
,BG785 Hide & Seek Choc 400g X 18p,150,2276.39,1,2276.39,2321.9178,2344.6817,2390.2095
,BG788  H&S Black BB Choc 300g X 24 CAR,150,3035.21,1,3035.21,3095.9142,3126.2663,3186.9705
,BG789 H&S Black BB Vani 300g X 24 CAR,150,3035.21,1,3035.21,3095.9142,3126.2663,3186.9705
,BG811 H&S Mil CF Drk CH 375g(25g*15)X8CT,150,1011.74,1,1011.74,1031.9748,1042.0922,1062.327
,BG813 H&S Milano CF Dark Choc 250gX20CAR,180,3035.21,1,3035.21,3095.9142,3126.2663,3186.9705
,BG971 H&S Milano Cookie 375g(25g*15)X8CT,150,1011.74,1,1011.74,1031.9748,1042.0922,1062.327
,BH101 Hide&Seek Choco Rolls125g X 48CAR,75,3035.21,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,BH163 H&S Milano Cookie 150g x 20p,120,1011.74,1,1011.74,1031.9748,1042.0922,1062.327
,BH167 Nutricrunch Dig H&O 600g X 12P,180,1821.12,1,1821.12,1857.5424,1875.7536,1912.176
,BH198 Hide&Seek Choco Rolls 250g X 24CAR,170,3439.91,1,3439.91,3508.7082,3543.1073,3611.9055
,BH205 Nutricrunch Lite Cracker 70.2gX80P,10,674.49,1,674.49,687.9798,694.7247,708.2145
,BH206 Hide & Seek Creme 400gX18 COMB,150,1138.19,1,1138.19,1160.9538,1172.3357,1195.0995
,BH209Nutricrunch LT Cr304.2+23.4gx20P EZ,45,758.79,1,758.79,773.9658,781.5537,796.7295
,BH245 H&S Ch Roll75gX60car+H&S Mil Ch25g,40,2023.47,1,2023.47,2063.9394,2084.1741,2124.6435
,BH341 Nutricrunch Cla.Dig1kgX12P D Punch,270,3059.49,1,3059.49,3120.6798,3151.2747,3212.4645
,BH42 H&S Choco Rolls 75g X 60 CAR,40,2023.47,1,2023.47,2063.9394,2084.1741,2124.6435
,BH44 H&S Milano CF Dark Choc 75g X60 CAR,40,2023.47,1,2023.47,2063.9394,2084.1741,2124.6435
,BH46 H&S Milano CF Hazelnut 60g X 60CAR,40,2023.47,1,2023.47,2063.9394,2084.1741,2124.6435
,BH48 H&S Milano CF Mixberry 75g X 60CAR,40,2023.47,1,2023.47,2063.9394,2084.1741,2124.6435
,BH51 H&S Milano Cookies 75g X 60 CAR,40,2023.47,1,2023.47,2063.9394,2084.1741,2124.6435
,L1 Hide & Seek Fills 15+3g x 192p,10,1517.61,1,1517.61,1547.9622,1563.1383,1593.4905
,L3 Hide & Seek Fills 200g X 48p,140,5665.72,1,5665.72,5779.0344,5835.6916,5949.006
RUSK,R101 Parle Rusk 182g x 48p,35,1425.17,1.05,1357.304762,1384.450857,1398.023905,1425.17
,R102 Parle Rusk Milk  182g x 48p,35,1425.17,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,R117 Parle Rusk 400g X 24p,70,1425.17,1,1425.17,1453.6734,1467.9251,1496.4285
,R119 Parle Rusk 55g X 60p,10,508.99,1,508.99,519.1698,524.2597,534.4395
,R121 Parle Rusk 25g X 192p,5,814.38,1.05,775.6,791.112,798.868,814.38
,R124 Parle Rusk 300+27g X 32p,55,1493.05,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,R125 Parle Rusk 1kg X 8p,200,1357.31,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,R126 Parle Rusk Milk 182GX48P Bowl Offer,35,1425.17,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,R127 Parle Rusk 182G X 48P - Bowl Offer,35,1425.17,1,1425.17,1453.6734,1467.9251,1496.4285
WAFFERS,N1455 Waf CnO 110g X 48p,60,2422.22,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1456 Waf CS 110g X 48p,60,2422.22,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1457 Wafers TT 110g X 48p,60,2422.22,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1458 Waf PP 110g X 48p,60,2422.22,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1498 Wafers CnO 60g X 60p,30,1130.38,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1499 Wafers  TT 60g X 60p,30,1130.38,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1500 Wafers CS 60g X 60p,30,1130.38,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1501 Wafers PP 60g X 60p,30,1130.38,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1576 Wafers Jalapeno 24g X 168p,10,1412.96,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1577 Wafers Tandoori 24g X 168p,10,1412.96,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1614 Waf CnO 10g+4g X 210p,5,883.1,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1615 Waf TT 10g+4g X 210p,5,883.1,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1616 Waf CS 10g+4g X 210p,5,883.1,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1617 Waf PP 10g+4g X 210p,5,883.1,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1618 Waf CnO 20g+8g X 168p,10,1412.96,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1619 Waf TT 20g+8g X 168p,10,1412.96,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1620 Waf CS 20g+8g X 168p,10,1412.96,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1621 Waf PP 20g+8g X 168p,10,1412.96,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,1,0,0,0,0
