CATEGORY,Column1,MRP,INVOICE RATE,SCHEME,AFTER SCHEME DEDCTION RATE,SEMI WS RATE5 (2%),RETAIL RATE(3%),RATE (5%)
,BG942 Krackjack Butter Masala 40g X 80p,10,674.49,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,BG943 Monaco Piri Piri 40g X 80p,10,674.49,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,BG944 Monaco Pizza 40g X 80p,10,674.49,1,674.49,687.9798,694.7247,708.2145
,BG950 Magix RD CH 58+10g X 96p,10,741.69,1.08,686.75,700.485,707.3525,721.0875
,BG951 Magix RD EL 58+10g X 96p,10,741.69,1.08,686.75,700.485,707.3525,721.0875
,BG952 Magix RD OR 58+10 x 96p,10,741.69,1.08,686.75,700.485,707.3525,721.0875
,BG956 Magix RE OR 58+10g X 96p,10,741.69,1.08,686.75,700.485,707.3525,721.0875
,BG957 Monaco Zeera 50+5.1g X 96p,10,809.38,1,809.38,825.5676,833.6614,849.849
,BG959 Parle-G Gluco  28g X 192p,3,497.22,1,497.22,507.1644,512.1366,522.081
,BG964 20-20 Nice 500g X 15p,150,965.75,1,965.75,985.065,994.7225,1014.0375
,BG976 Marie 56.4+23.5 X 30p EZ,10,252.93,1.05,240.8857143,245.7034286,248.1122857,252.93
,BG979 Marie 300g X 16p,40,539.6,1.05,513.9047619,524.1828571,529.3219048,539.6
,BG985 Happy Happy Creme CH 50g X 120p,10,1011.74,1,1011.74,1031.9748,1042.0922,1062.327
,BG986 Happy Happy Creme VN 50g X 120p,10,1011.74,1,1011.74,1031.9748,1042.0922,1062.327
,BG990 Multivita Marie 54+9g X 96p,10,809.38,1.05,770.8380952,786.2548571,793.9632381,809.38
,BG996 Marie 27+12g X 144p,5,607.05,1.05,578.1428571,589.7057143,595.4871429,607.05
,BH.225 Monaco Jeffs 4.5 KG,1000,843.12,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,BH.226 Monaco Sixer Salted 5.0 KG,1100,927.43,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,BH110 20-20 Butter 52+18g X 96p s slug,10,809.38,1,809.38,825.5676,833.6614,849.849
,BH111 20-20 Cashew 50+15g X 96p s slug,10,809.38,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,BH115 Krackjack 119.7g X 72p,20,1214.08,1,1214.08,1238.3616,1250.5024,1274.784
,BH116 Monaco 121.8g X 72p,20,1214.08,1,1214.08,1238.3616,1250.5024,1274.784
,BH12 Parle-G Cinnamon 93.75g X 72p,10,618.08,1,618.08,630.4416,636.6224,648.984
,BH127 Magix KR RD SB 29+5g X 144p,5,618.08,1.08,572.2962963,583.7422222,589.4651852,600.9111111
,BH128 Magix KR RD OR 29+5g X 144p,5,618.08,1.08,572.2962963,583.7422222,589.4651852,600.9111111
,BH129 Magix KR RD CH 29+5g X 144p,5,618.08,1.08,572.2962963,583.7422222,589.4651852,600.9111111
,BH130 Magix KR RD EL 29+5g X 144p,5,618.08,1.08,572.2962963,583.7422222,589.4651852,600.9111111
,BH131 Magix KR RE EL 29+5g X 144p,5,618.08,1.08,572.2962963,583.7422222,589.4651852,600.9111111
,BH132 Magix KR RE OR 29+5g X 144p,5,618.08,1.08,572.2962963,583.7422222,589.4651852,600.9111111
,BH133 Magix KR RE CH 29+5g X 144p,5,618.08,1.08,572.2962963,583.7422222,589.4651852,600.9111111
,BH155 Aloo Bikki Spicy Masala 76gX48p,25,1011.74,1,1011.74,1031.9748,1042.0922,1062.327
,BH156 Aloo Bikki Mexican Salsa 76gX48p,25,1011.74,1,1011.74,1031.9748,1042.0922,1062.327
,BH157  Aloo Bikki Chipotle 76g X 48p,25,1011.74,1,1011.74,1031.9748,1042.0922,1062.327
,BH158 Parle-G Gold 62.5+12.5 X 72p,10,607.05,1,607.05,619.191,625.2615,637.4025
,BH177 Parle-G Gluco  45+5g X 144p,5,618.08,1,618.08,630.4416,636.6224,648.984
,BH184 Marie 225.6g X 20 Pkts,30,505.86,1.05,481.7714286,491.4068571,496.2245714,505.86
,BH185 Fab! Jam-In Mix Fruit 495g x 12p,180,910.56,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,BH187 Parle-G Bheem 45g X 144p,5,618.08,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,BH197 Milk Shakti  350g X 24 P -D- PUNCH,100,1011.74,1,1011.74,1031.9748,1042.0922,1062.327
,BH201 Monaco  Jeffs 200g X 30 Jars,70,1770.53,1,1770.53,1805.9406,1823.6459,1859.0565
,BH203 Monaco Sixer Salted 200g X 30Jars,70,1770.53,1,1770.53,1805.9406,1823.6459,1859.0565
,BH214 Parle Coconut Cookies 400g X 20Pkt,55,927.43,1,927.43,945.9786,955.2529,973.8015
,BH231 Parle-G Royale 360G x 20 Cartons,70,1201.81,1,1201.81,1225.8462,1237.8643,1261.9005
,BH236 Krackjack But Masala 102.6G X 40P,50,843.12,1,843.12,859.9824,868.4136,885.276
,BH241 Monaco Piri Piri 103.68G X 40P,50,843.12,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,BH242 Monaco Pizza 103.68Gx40P,50,843.12,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
